experiment_id,phase,hypothesis_id,strategy_family,instrument,mechanism,session,timeframe,train_period,validation_period,oos_period,oos_trades,oos_pf,oos_expectancy,oos_total_R,oos_max_dd,oos_first_half_R,oos_second_half_R,parameter_robustness,cost_robustness,high_vol_result,drawdown_correlation,portfolio_fit,final_classification,rejection_reason,preregistered,post_result_modification,notes
EXP-157,Phase30,EXP-157,calendar_drift,USDCAD,calendar_drift,Thursday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,1.316,0.0684,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-158,Phase30,EXP-158,calendar_drift,USDCAD,calendar_drift,Thursday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.601,-0.129,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-159,Phase30,EXP-159,calendar_drift,USDCAD,calendar_drift,Friday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.93,-0.0183,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-160,Phase30,EXP-160,calendar_drift,USDCAD,calendar_drift,Friday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.85,-0.0422,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-161,Phase30,EXP-161,calendar_drift,USDCHF,calendar_drift,Monday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.458,0.0983,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (did not clear pre-declared IS+OOS t>=2.0 bar),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-162,Phase30,EXP-162,calendar_drift,USDCHF,calendar_drift,Monday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.532,-0.1652,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-163,Phase30,EXP-163,calendar_drift,USDCHF,calendar_drift,Tuesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.907,-0.0248,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-164,Phase30,EXP-164,calendar_drift,USDCHF,calendar_drift,Tuesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.849,-0.0421,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-165,Phase30,EXP-165,calendar_drift,USDCHF,calendar_drift,Wednesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.677,0.1134,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (did not clear pre-declared IS+OOS t>=2.0 bar),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-166,Phase30,EXP-166,calendar_drift,USDCHF,calendar_drift,Wednesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.442,-0.1808,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-167,Phase30,EXP-167,calendar_drift,USDCHF,calendar_drift,Thursday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.843,-0.0537,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-168,Phase30,EXP-168,calendar_drift,USDCHF,calendar_drift,Thursday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.962,-0.0125,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-169,Phase30,EXP-169,calendar_drift,USDCHF,calendar_drift,Friday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.876,-0.0271,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-170,Phase30,EXP-170,calendar_drift,USDCHF,calendar_drift,Friday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.826,-0.0399,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-171,Phase30,EXP-171,calendar_drift,XAUUSD,calendar_drift,Monday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.767,0.1575,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-172,Phase30,EXP-172,calendar_drift,XAUUSD,calendar_drift,Monday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.544,-0.1683,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-173,Phase30,EXP-173,calendar_drift,XAUUSD,calendar_drift,Tuesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.419,0.0911,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (did not clear pre-declared IS+OOS t>=2.0 bar),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-174,Phase30,EXP-174,calendar_drift,XAUUSD,calendar_drift,Tuesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.677,-0.1018,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-175,Phase30,EXP-175,calendar_drift,XAUUSD,calendar_drift,Wednesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.757,0.1374,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-176,Phase30,EXP-176,calendar_drift,XAUUSD,calendar_drift,Wednesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.546,-0.1481,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-177,Phase30,EXP-177,calendar_drift,XAUUSD,calendar_drift,Thursday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,1.274,0.0585,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (did not clear pre-declared IS+OOS t>=2.0 bar),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-178,Phase30,EXP-178,calendar_drift,XAUUSD,calendar_drift,Thursday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.75,-0.0694,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-179,Phase30,EXP-179,calendar_drift,XAUUSD,calendar_drift,Friday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,82,1.268,0.0625,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (did not clear pre-declared IS+OOS t>=2.0 bar),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-180,Phase30,EXP-180,calendar_drift,XAUUSD,calendar_drift,Friday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,82,0.757,-0.0734,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-125,Phase33,EXP-125_XAUUSD_LONDON_VOL_EXPANSION,volatility_contraction_expansion_breakout,XAUUSD,volatility_contraction_expansion_breakout,London open (07:00 UTC) entry through NY,H1,2023-01-01 to 2024-08-31,2024-09-01 to 2025-04-30,2025-05-01 to 2026-08-14,114,1.185,0.117,13.31,NA,-0.071,0.305,FAIL (sign-inconsistent),"PASS (OOS PF 1.159 at 2.0x cost, still >1.0)","STRONG HIGH-VOL COMPATIBILITY (100%% of OOS trades fell in the HIGH-ATR tercile, entirely positive expectancy -- but see limitation: OOS window itself may have been a structurally higher-volatility period for gold, so no LOW/NORMAL comparison exists within OOS)","FAIL (drawdown-day corr 0.111 exceeds normal-day corr -0.151 by >0.15, on the fair OOS-window-matched control comparison)","Positive but not decisive -- combined total R and DD were mildly favorable at 0.5x weight in the fair OOS-window comparison, but this does not override the Gate 2 failure",B. REJECTED -- ROBUSTNESS FAILURE,Fails BOTH the OOS-sub-half stability check and the +-20%% parameter-perturbation check -- the aggregate OOS PF (1.185) is not supported by a stable underlying signal,YES (frozen commit 8bcd30e before backtesting),NO,Confirmatory pre-registered candidate
EXP-126,Phase33,EXP-126_USDCAD_MOMENTUM_CONTINUATION,trend_momentum_continuation,USDCAD,trend_momentum_continuation,H4 continuous (no single-session restriction by design),H4,2023-01-01 to 2024-08-31,2024-09-01 to 2025-04-30,2025-05-01 to 2026-08-14,57,1.246,0.155,8.83,NA,-0.091,0.393,FAIL (sign-inconsistent),"MARGINAL (OOS PF falls to 1.150 at 2.0x cost -- still just above 1.0, but the trend across 1.0x/1.5x/2.0x is the steepest decline of the two candidates)",UNKNOWN (only 5 OOS trades fell in the HIGH-ATR tercile -- below this project's own 10-trade minimum for any classification),"INSUFFICIENT EVIDENCE (only 5 control-drawdown-day overlaps within the OOS window, below the 5-trade viability floor used elsewhere in this analysis)","Positive on total R at both weights in the fair OOS-window comparison, but combined max DD is slightly WORSE than control-only at both weights",B. REJECTED -- ROBUSTNESS FAILURE,"Fails BOTH the OOS-sub-half stability check and the +-20%% parameter-perturbation check, with the parameter perturbation showing a full sign reversal (+0.242R to -0.260R) -- the single most fragile result of either candidate",YES (frozen commit 8bcd30e before backtesting),NO,Confirmatory pre-registered candidate
H1,Phase35,H1_USDCAD_NY_ORB,new_york_open_range_breakout,USDCAD,new_york_open_range_breakout,New York (13:00-15:00 UTC range; entries through 20:00 UTC),H1,2023-01-01 to 2024-08-31,2024-09-01 to 2025-04-30,2025-05-01 to 2026-08-14,306,0.89,-0.071,-21.72,NA,-0.072,-0.07,"FAIL (negative across all perturbations, no positive edge to be robust)",NOT TESTED (Gate 1 failed),see phase35_regime_analysis.csv,NOT TESTED (Gate 1 failed),NOT TESTED (Gate 1 failed),A. REJECTED -- NO EDGE,"OOS PF 0.890 (below 1.0), negative expectancy in BOTH OOS sub-halves (-0.072R and -0.070R, near-identical -- a stable, non-borderline negative result), and negative at every one of the three parameter perturbations tested. No credible edge at any stage.",YES (frozen commit 7821cd7 before backtesting),NO,Confirmatory pre-registered candidate
H2,Phase35,H2_AUDUSD_NY_MOMENTUM,new_york_session_momentum,AUDUSD,new_york_session_momentum,New York (13:00-21:00 UTC),H1,2023-01-01 to 2024-08-31,2024-09-01 to 2025-04-30,2025-05-01 to 2026-08-14,532,0.639,-0.3,-159.58,NA,-0.343,-0.257,"FAIL (negative across all perturbations, no positive edge to be robust)",NOT TESTED (Gate 1 failed),see phase35_regime_analysis.csv,NOT TESTED (Gate 1 failed),NOT TESTED (Gate 1 failed),A. REJECTED -- NO EDGE,"Largest, most decisive rejection of the five: 532 OOS trades (ample sample), PF never above 0.67 at any perturbation, negative in both sub-halves. The momentum-continuation hypothesis as implemented shows no edge on AUDUSD NY-session data.",YES (frozen commit 7821cd7 before backtesting),NO,Confirmatory pre-registered candidate
H3,Phase35,H3_USDCHF_OVERLAP_CONTINUATION,london_ny_overlap_continuation,USDCHF,london_ny_overlap_continuation,London/NY overlap (13:00-16:00 UTC entry window; signal from 07:00-13:00 UTC London session),H1,2023-01-01 to 2024-08-31,2024-09-01 to 2025-04-30,2025-05-01 to 2026-08-14,172,0.54,-0.342,-58.86,NA,-0.404,-0.28,"FAIL (negative across all perturbations, no positive edge to be robust)",NOT TESTED (Gate 1 failed),see phase35_regime_analysis.csv,NOT TESTED (Gate 1 failed),NOT TESTED (Gate 1 failed),A. REJECTED -- NO EDGE,Weakest profit factor of the five (0.540). Negative in both OOS sub-halves. The London-session-efficiency-ratio continuation signal shows no predictive value for the NY-open/overlap window on USDCHF.,YES (frozen commit 7821cd7 before backtesting),NO,Confirmatory pre-registered candidate
H4,Phase35,H4_USDCAD_MTF_TREND,multi_timeframe_trend_continuation,USDCAD,multi_timeframe_trend_continuation,Unrestricted by session (D1 trend filter + H4 execution),H4 (filtered by D1),2023-01-01 to 2024-08-31,2024-09-01 to 2025-04-30,2025-05-01 to 2026-08-14,63,0.795,-0.151,-9.52,NA,-0.378,0.068,"FAIL (negative across all perturbations, no positive edge to be robust)",NOT TESTED (Gate 1 failed),see phase35_regime_analysis.csv,NOT TESTED (Gate 1 failed),NOT TESTED (Gate 1 failed),"A. REJECTED -- NO EDGE (though the smallest-magnitude rejection of the five, and the only candidate with a positive OOS sub-half)","OOS PF 0.795. Unlike the other four, its second OOS half was mildly POSITIVE (+0.068R vs -0.378R in the first half) -- worth noting as the least decisively negative result, but the aggregate OOS PF remains below 1.0 at every parameter perturbation tested, so it does not clear Gate 1 despite adding a D1 trend filter specifically to address Phase33's USDCAD lesson.",YES (frozen commit 7821cd7 before backtesting),NO,Confirmatory pre-registered candidate
H5,Phase35,H5_AUDUSD_ATR_VOL_EXPANSION,atr_scaled_volatility_expansion,AUDUSD,atr_scaled_volatility_expansion,London (07:00 UTC entry),H1,2023-01-01 to 2024-08-31,2024-09-01 to 2025-04-30,2025-05-01 to 2026-08-14,123,0.653,-0.314,-38.64,NA,-0.483,-0.148,"FAIL (negative across all perturbations, no positive edge to be robust)",NOT TESTED (Gate 1 failed),see phase35_regime_analysis.csv,NOT TESTED (Gate 1 failed),NOT TESTED (Gate 1 failed),A. REJECTED -- NO EDGE,"OOS PF 0.653. Negative in both OOS sub-halves. The ATR-scaled exit (the specific design change motivated by Phase34's XAUUSD diagnosis) did not by itself produce a credible edge on AUDUSD -- suggesting the earlier XAUUSD problem may not have been solely the fixed-target design, or that the volatility-contraction-to-expansion precondition itself does not generalize cleanly to AUDUSD.",YES (frozen commit 7821cd7 before backtesting),NO,Confirmatory pre-registered candidate
EXP-121 (Phase30 origin),"Phase30/32/34/35/37 (cross-phase standing candidate, fully validated Phase37)",AUDUSD_MONDAY_LONG,calendar_drift,AUDUSD,calendar_drift,Monday full session,D1,2023-01-01 to 2025-01-01,N/A -- single IS/OOS split,2025-01-01 to 2026-08-14,84,3.07,0.2548,21.4,-2.87,"+0.2323R (42 trades, PF 2.678)","+0.2773R (42 trades, PF 3.572)","PASS (ATR-window +/-20%: PF 3.051/3.070/3.152, no sign reversal -- Phase37, disclosed limited informativeness)","PASS (OOS PF 2.647 at 2x cost -- Phase37, matches Phase32 figure)","STRONG (Phase37: 20 trades, PF 6.25, expectancy +0.3537R, best of 3 terciles)","CORRELATED (Phase37 formal test: normal-day corr 0.228, drawdown-day corr 0.742, 9-day overlap)",Formally integration-tested (Phase37): control max_dd -14.53 -> -15.24 at 1.0x weight (worse),"F. REJECTED -- POOR DRAWDOWN DIVERSIFICATION (Phase37, supersedes Phase30-35 E.PROMISING status)","Formally validated Phase37: passes every gate (edge, OOS consistency, param robustness, cost stress, 5/5 historical regimes, HIGH-vol) except drawdown correlation to the 6-strategy control (0.742 vs 0.228 normal, exceeding the 0.15 threshold)",YES (Phase30 screening bar),"NO (Phase37 was a formal, preregistered full-validation extension of an already-frozen candidate definition, not a post-hoc edit)",Superseded by Phase37 full validation -- see reports/phase37_master_report.md. No longer PROMISING; formally REJECTED.
EXP-135,Phase38,H1_CROSS_SECTIONAL_FX,cross_sectional_relative_momentum,SYNTHETIC (7 USD-pair legs: EURUSD/GBPUSD/AUDUSD/NZDUSD/USDJPY/USDCAD/USDCHF),cross_sectional_relative_momentum,session-independent (weekly rebalance),D1/weekly,2023-01-01 to 2025-01-01,N/A -- two-way split (matches Phase37 AUDUSD convention),2025-01-01 to 2026-08-14,84,0.649,-0.1648,-13.84,-14.61,-0.1976R (42 trades),-0.132R (42 trades),"PASS/no reversal (lookback 16/20/24d: PF 0.582/0.649/0.517, negative throughout)","FAIL (PF 0.608 at 2x, already below 1.0 before stress)","WEAK (15 trades, expectancy -0.6319R, worst regime)","CORRELATED (0.611 drawdown-day vs 0.136 normal, 8-day overlap at the preregistered floor)",Worsens control at every weight (total_R and max_dd both deteriorate),B. REJECTED -- NO CREDIBLE OOS EDGE,"OOS PF 0.649, negative in IS and OOS, negative across all lookback perturbations and cost stress",YES (frozen commit af03e04 before backtesting),NO,Structurally A. GENUINELY DISTINCT (first cross-sectional-ranking hypothesis in the ledger); see reports/phase38_master_report.md
