experiment_id,instrument,strategy_family,hypothesis,timeframe,session,train_period,validation_period,oos_period,trade_count,oos_pf,oos_expectancy,is_t_stat,oos_t_stat,is_pf,is_trades,cost_stress_status,walk_forward_status,monte_carlo_status,portfolio_correlation,drawdown_correlation,marginal_dd_impact,marginal_return_impact,diversification_status,final_classification,notes
EXP-155,USDCAD,calendar_drift,"Wednesday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Wednesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.001,0.0003,1.27,0.0,1.376,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-156,USDCAD,calendar_drift,"Wednesday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Wednesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.764,-0.0612,-2.2,-0.98,0.57,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-157,USDCAD,calendar_drift,"Thursday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Thursday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,1.316,0.0684,-1.06,0.99,0.763,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-158,USDCAD,calendar_drift,"Thursday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Thursday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.601,-0.129,0.15,-1.87,1.039,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-159,USDCAD,calendar_drift,"Friday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Friday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.93,-0.0183,1.0,-0.24,1.312,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-160,USDCAD,calendar_drift,"Friday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Friday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.85,-0.0422,-1.89,-0.56,0.603,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-161,USDCHF,calendar_drift,"Monday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Monday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.458,0.0983,1.87,1.4,1.609,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (did not clear pre-declared IS+OOS t>=2.0 bar),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-162,USDCHF,calendar_drift,"Monday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Monday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.532,-0.1652,-3.15,-2.34,0.453,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-163,USDCHF,calendar_drift,"Tuesday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Tuesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.907,-0.0248,0.56,-0.36,1.158,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-164,USDCHF,calendar_drift,"Tuesday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Tuesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.849,-0.0421,-1.63,-0.6,0.655,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-165,USDCHF,calendar_drift,"Wednesday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Wednesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.677,0.1134,0.14,1.86,1.038,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (did not clear pre-declared IS+OOS t>=2.0 bar),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-166,USDCHF,calendar_drift,"Wednesday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Wednesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.442,-0.1808,-1.03,-2.98,0.754,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-167,USDCHF,calendar_drift,"Thursday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Thursday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.843,-0.0537,-0.17,-0.6,0.958,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-168,USDCHF,calendar_drift,"Thursday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Thursday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.962,-0.0125,-0.74,-0.14,0.836,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-169,USDCHF,calendar_drift,"Friday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Friday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.876,-0.0271,0.58,-0.46,1.163,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-170,USDCHF,calendar_drift,"Friday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Friday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.826,-0.0399,-1.61,-0.67,0.656,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-171,XAUUSD,calendar_drift,"Monday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Monday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.767,0.1575,-0.77,1.98,0.813,100,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-172,XAUUSD,calendar_drift,"Monday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Monday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.544,-0.1683,0.27,-2.12,1.075,100,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-173,XAUUSD,calendar_drift,"Tuesday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Tuesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.419,0.0911,0.94,1.27,1.265,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (did not clear pre-declared IS+OOS t>=2.0 bar),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-174,XAUUSD,calendar_drift,"Tuesday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Tuesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.677,-0.1018,-1.38,-1.41,0.709,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-175,XAUUSD,calendar_drift,"Wednesday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Wednesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.757,0.1374,-0.81,1.94,0.81,100,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-176,XAUUSD,calendar_drift,"Wednesday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Wednesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.546,-0.1481,0.39,-2.09,1.108,100,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-177,XAUUSD,calendar_drift,"Thursday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Thursday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,1.274,0.0585,1.39,0.88,1.418,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (did not clear pre-declared IS+OOS t>=2.0 bar),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-178,XAUUSD,calendar_drift,"Thursday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Thursday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.75,-0.0694,-1.8,-1.04,0.634,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-179,XAUUSD,calendar_drift,"Friday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Friday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,82,1.268,0.0625,1.36,0.83,1.44,100,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (did not clear pre-declared IS+OOS t>=2.0 bar),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-180,XAUUSD,calendar_drift,"Friday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Friday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,82,0.757,-0.0734,-1.69,-0.97,0.634,100,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
